Command_Code,Command_Name
HOU                                                         ,
HQ CUST                                                     ,
HQ SEC                                                      ,HEADQUARTERS SECURITY UNIT
HSG BUR                                                     ,
HWY 01                                                      ,HIGHWAY UNIT NO 1
HWY 02                                                      ,HIGHWAY UNIT NO 2
HWY 03                                                      ,HIGHWAY UNIT NO 3
HWY 04                                                      ,
HWY 05                                                      ,
HWY 5                                                       ,HIGHWAY UNIT 5
HWY CIS                                                     ,HWY DST COLLISION INV SQD
HWY DIST                                                    ,HIGHWAY DISTRICT
HWY DST                                                     ,
HWY DST CTG                                                 ,HWY DIST COLLISION TECH GROUP
HWY DST STS                                                 ,HIGHWAY DISTRICT SPECIALIZED TRAINING SCHOOL
I T B                                                       ,
I T S D                                                     ,
I.A.B.                                                      ,
IAB                                                         ,INTERNAL AFFAIRS BUREAU
IAB ADMIN                                                   ,IAB ADMINISTRATION
IAB CMD CTR                                                 ,IAB COMMAND CENTER
IAB CRIM INV                                                ,IAB CRIMINAL INVESTIGATIONS
IAB GRP 1                                                   ,IAB GROUP 1
IAB GRP 10                                                  ,IAB GROUP 10
IAB GRP 12                                                  ,IAB GROUP 12
IAB GRP 21                                                  ,IAB GROUP 21
IAB GRP 22                                                  ,IAB GROUP 22
IAB GRP 26                                                  ,IAB GROUP 26
IAB GRP 27                                                  ,IAB GROUP 27
IAB GRP 31                                                  ,IAB GROUP 31
IAB GRP 32                                                  ,IAB GROUP 32
IAB GRP 33                                                  ,IAB GROUP 33
IAB GRP 34                                                  ,IAB GROUP 34
IAB GRP 41                                                  ,IAB GROUP 41
IAB GRP 42                                                  ,IAB GROUP 42
IAB GRP 52                                                  ,IAB GROUP 52
IAB GRP 53                                                  ,IAB GROUP 53
IAB GRP 54                                                  ,IAB GROUP 54
IAB GRP 56                                                  ,IAB GROUP 56
IAB GRP 9                                                   ,IAB GROUP 9
IAB RESOURCE                                                ,IAB RESOURCES
IAB SPEC OPS                                                ,IAB SPECIAL OPERATIONS
IAB Z1                                                      ,IAB ZONE 1
IAB Z2                                                      ,IAB ZONE 2
IAB Z3                                                      ,IAB ZONE 3
ID SECT                                                     ,IDENTIFICATION SECTION
ID THEFT SQD                                                ,IDENTITY THEFT SQUAD
IG COORD UNIT                                               ,INSP GENERAL COORD UNIT
INSRVTR                                                     ,
INSUPDV                                                     ,
INT BUR                                                     ,
INT CIS                                                     ,CRIMINAL INTELLIGENCE SECTION
INT CIS                                                     ,
INT DIV                                                     ,
INT EPU                                                     ,EXECUTIVE PROTECTION UNIT
INT FIO PRG                                                 ,INTEL CIS FIO PROGRAM
INT MSS                                                     ,
INT OAS                                                     ,
INT PSS                                                     ,
INT RIC                                                     ,
INT RIS                                                     ,
INT SDU                                                     ,SENSITIVE DATA UNIT
INT UOU                                                     ,UNIFORMED OPERATIONS UNIT
INTEL BUR                                                   ,INTELLIGENCE BUREAU
INTEL INV                                                   ,INTELLIGENCE BUREAU INVESTIGATIONS UNIT
INV REVIEW                                                  ,COD INVESTIGATION REVIEW SECTION
INV SUP                                                     ,INVESTIGATIVE SUPPORT SECTION
IT PRGM MGMT                                                ,IT PROGRAM MANAGEMENT
ITB                                                         ,INFORMATION TECHNOLOGY BUREAU
ITB ADM DIV                                                 ,ITB ADMINISTRATIVE DIVISION
ITB INV                                                     ,ITB INVESTIGATIONS UNIT
ITSD                                                        ,INFO TECHNOLOGY SERVICES DIV
JB/R/TF                                                     ,JOINT BANK ROB T/F
